Herbicide scenario	PFT	year	mean.10	min.10	max.10	mean.10_20	min.10_20	max.10_20	mean.20_30	min.20_30	max.20_30	mean.30_40	min.30_40	max.30_40	mean.40_50	min.40_50	max.40_50	mean.50	min.50	max.50
0	MECIcl3plb	1	30	0	0	0	0	0	0	0	8	0	0	22	0	0	0	0	0	0
1	MECIcl3plb	1	30	0	0	0	0	3	0	0	18	0	0	9	0	0	0	0	0	0
2	MECIcl3plb	1	30	0	0	0	0	0	0	0	28	0	0	2	0	0	0	0	0	0
0	MECIcl3plb	2	30	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	26
1	MECIcl3plb	2	30	0	0	0	0	0	0	0	0	0	0	5	0	0	4	0	0	21
2	MECIcl3plb	2	30	0	0	0	0	0	0	0	1	0	0	3	0	0	4	0	0	22
0	MECIcl3plb	3	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	3	29	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	30
2	MECIcl3plb	3	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3plb	4	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	4	8	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	30
2	MECIcl3plb	4	29	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3plb	5	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	5	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
2	MECIcl3plb	5	29	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3plb	6	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	6	29	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	30
2	MECIcl3plb	6	23	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3plb	7	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	7	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
2	MECIcl3plb	7	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3plb	8	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	8	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
2	MECIcl3plb	8	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3plb	9	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	9	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
2	MECIcl3plb	9	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3plb	10	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	10	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
2	MECIcl3plb	10	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3plb	11	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	11	14	0	0	14	0	0	2	0	0	0	0	0	0	0	0	0	0	30
2	MECIcl3plb	11	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3plb	12	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	12	17	0	0	11	0	0	2	0	0	0	0	0	0	0	0	0	0	30
2	MECIcl3plb	12	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3plb	13	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	13	0	0	0	9	0	0	14	0	0	7	0	0	0	0	0	0	0	30
2	MECIcl3plb	13	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3plb	14	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	14	0	0	0	5	0	0	23	0	0	2	0	0	0	0	0	0	0	30
2	MECIcl3plb	14	17	0	0	4	0	0	9	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3plb	15	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	15	27	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	30
2	MECIcl3plb	15	18	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3plb	16	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	16	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
2	MECIcl3plb	16	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
